car_name,model,origin,mpg,cylinders,displacement,horsepower,weight,acceleration
datsun 610,73,3,22.0,4,108.0,94,2379,16.5
maxda rx3,73,3,18.0,3,70.0,90,2124,13.5
ford pinto,73,1,19.0,4,122.0,85,2310,18.5
mercury capri v6,73,1,21.0,6,155.0,107,2472,14.0
fiat 124 sport coupe,73,2,26.0,4,98.0,90,2265,15.5
chevrolet monte carlo s,73,1,15.0,8,350.0,145,4082,13.0
pontiac grand prix,73,1,16.0,8,400.0,230,4278,9.5
fiat 128,73,2,29.0,4,68.0,49,1867,19.5
opel manta,73,2,24.0,4,116.0,75,2158,15.5
audi 100ls,73,2,20.0,4,114.0,91,2582,14.0
volvo 144ea,73,2,19.0,4,121.0,112,2868,15.5
dodge dart custom,73,1,15.0,8,318.0,150,3399,11.0
saab 99le,73,2,24.0,4,121.0,110,2660,14.0
toyota mark ii,73,3,20.0,6,156.0,122,2807,13.5
oldsmobile omega,73,1,11.0,8,350.0,180,3664,11.0
plymouth duster,74,1,20.0,6,198.0,95,3102,16.5
ford maverick,74,1,21.0,6,200.0,?,2875,17.0
amc hornet,74,1,19.0,6,232.0,100,2901,16.0
chevrolet nova,74,1,15.0,6,250.0,100,3336,17.0
datsun b210,74,3,31.0,4,79.0,67,1950,19.0
ford pinto,74,1,26.0,4,122.0,80,2451,16.5
toyota corolla 1200,74,3,32.0,4,71.0,65,1836,21.0
chevrolet vega,74,1,25.0,4,140.0,75,2542,17.0
chevrolet chevelle malibu classic,74,1,16.0,6,250.0,100,3781,17.0
amc matador,74,1,16.0,6,258.0,110,3632,18.0
plymouth satellite sebring,74,1,18.0,6,225.0,105,3613,16.5
ford gran torino,74,1,16.0,8,302.0,140,4141,14.0
buick century luxus (sw),74,1,13.0,8,350.0,150,4699,14.5
dodge coronet custom (sw),74,1,14.0,8,318.0,150,4457,13.5
ford gran torino (sw),74,1,14.0,8,302.0,140,4638,16.0
amc matador (sw),74,1,14.0,8,304.0,150,4257,15.5
audi fox,74,2,29.0,4,98.0,83,2219,16.5
volkswagen dasher,74,2,26.0,4,79.0,67,1963,15.5
opel manta,74,2,26.0,4,97.0,78,2300,14.5
toyota corona,74,3,31.0,4,76.0,52,1649,16.5
datsun 710,74,3,32.0,4,83.0,61,2003,19.0
dodge colt,74,1,28.0,4,90.0,75,2125,14.5
fiat 128,74,2,24.0,4,90.0,75,2108,15.5
fiat 124 tc,74,2,26.0,4,116.0,75,2246,14.0
honda civic,74,3,24.0,4,120.0,97,2489,15.0
subaru,74,3,26.0,4,108.0,93,2391,15.5
fiat x1.9,74,2,31.0,4,79.0,67,2000,16.0
plymouth valiant custom,75,1,19.0,6,225.0,95,3264,16.0
chevrolet nova,75,1,18.0,6,250.0,105,3459,16.0
mercury monarch,75,1,15.0,6,250.0,72,3432,21.0
ford maverick,75,1,15.0,6,250.0,72,3158,19.5
pontiac catalina,75,1,16.0,8,400.0,170,4668,11.5
chevrolet bel air,75,1,15.0,8,350.0,145,4440,14.0
plymouth grand fury,75,1,16.0,8,318.0,150,4498,14.5
ford ltd,75,1,14.0,8,351.0,148,4657,13.5
buick century,75,1,17.0,6,231.0,110,3907,21.0
chevroelt chevelle malibu,75,1,16.0,6,250.0,105,3897,18.5
amc matador,75,1,15.0,6,258.0,110,3730,19.0
plymouth fury,75,1,18.0,6,225.0,95,3785,19.0
buick skyhawk,75,1,21.0,6,231.0,110,3039,15.0
chevrolet monza 2+2,75,1,20.0,8,262.0,110,3221,13.5
ford mustang ii,75,1,13.0,8,302.0,129,3169,12.0
toyota corolla,75,3,29.0,4,97.0,75,2171,16.0
ford pinto,75,1,23.0,4,140.0,83,2639,17.0
amc gremlin,75,1,20.0,6,232.0,100,2914,16.0
pontiac astro,75,1,23.0,4,140.0,78,2592,18.5
toyota corona,75,3,24.0,4,134.0,96,2702,13.5
volkswagen dasher,75,2,25.0,4,90.0,71,2223,16.5
datsun 710,75,3,24.0,4,119.0,97,2545,17.0
ford pinto,75,1,18.0,6,171.0,97,2984,14.5
volkswagen rabbit,75,2,29.0,4,90.0,70,1937,14.0
amc pacer,75,1,19.0,6,232.0,90,3211,17.0
audi 100ls,75,2,23.0,4,115.0,95,2694,15.0
peugeot 504,75,2,23.0,4,120.0,88,2957,17.0
volvo 244dl,75,2,22.0,4,121.0,98,2945,14.5
saab 99le,75,2,25.0,4,121.0,115,2671,13.5
honda civic cvcc,75,3,33.0,4,91.0,53,1795,17.5
fiat 131,76,2,28.0,4,107.0,86,2464,15.5
opel 1900,76,2,25.0,4,116.0,81,2220,16.9
capri ii,76,1,25.0,4,140.0,92,2572,14.9
dodge colt,76,1,26.0,4,98.0,79,2255,17.7
renault 12tl,76,2,27.0,4,101.0,83,2202,15.3
chevrolet chevelle malibu classic,76,1,17.5,8,305.0,140,4215,13.0
dodge coronet brougham,76,1,16.0,8,318.0,150,4190,13.0
amc matador,76,1,15.5,8,304.0,120,3962,13.9
ford gran torino,76,1,14.5,8,351.0,152,4215,12.8
plymouth valiant,76,1,22.0,6,225.0,100,3233,15.4
chevrolet nova,76,1,22.0,6,250.0,105,3353,14.5
ford maverick,76,1,24.0,6,200.0,81,3012,17.6
amc hornet,76,1,22.5,6,232.0,90,3085,17.6
chevrolet chevette,76,1,29.0,4,85.0,52,2035,22.2
chevrolet woody,76,1,24.5,4,98.0,60,2164,22.1
vw rabbit,76,2,29.0,4,90.0,70,1937,14.2
honda civic,76,3,33.0,4,91.0,53,1795,17.4
dodge aspen se,76,1,20.0,6,225.0,100,3651,17.7
ford granada ghia,76,1,18.0,6,250.0,78,3574,21.0
pontiac ventura sj,76,1,18.5,6,250.0,110,3645,16.2
amc pacer d/l,76,1,17.5,6,258.0,95,3193,17.8
volkswagen rabbit,76,2,29.5,4,97.0,71,1825,12.2
datsun b-210,76,3,32.0,4,85.0,70,1990,17.0
toyota corolla,76,3,28.0,4,97.0,75,2155,16.4
ford pinto,76,1,26.5,4,140.0,72,2565,13.6
volvo 245,76,2,20.0,4,130.0,102,3150,15.7
plymouth volare premier v8,76,1,13.0,8,318.0,150,3940,13.2
peugeot 504,76,2,19.0,4,120.0,88,3270,21.9
toyota mark ii,76,3,19.0,6,156.0,108,2930,15.5
mercedes-benz 280s,76,2,16.5,6,168.0,120,3820,16.7
cadillac seville,76,1,16.5,8,350.0,180,4380,12.1
chevy c10,76,1,13.0,8,350.0,145,4055,12.0
ford f108,76,1,13.0,8,302.0,130,3870,15.0
dodge d100,76,1,13.0,8,318.0,150,3755,14.0
honda accord cvcc,77,3,31.5,4,98.0,68,2045,18.5
buick opel isuzu deluxe,77,1,30.0,4,111.0,80,2155,14.8
renault 5 gtl,77,2,36.0,4,79.0,58,1825,18.6
plymouth arrow gs,77,1,25.5,4,122.0,96,2300,15.5
datsun f-10 hatchback,77,3,33.5,4,85.0,70,1945,16.8
chevrolet caprice classic,77,1,17.5,8,305.0,145,3880,12.5
oldsmobile cutlass supreme,77,1,17.0,8,260.0,110,4060,19.0
dodge monaco brougham,77,1,15.5,8,318.0,145,4140,13.7
mercury cougar brougham,77,1,15.0,8,302.0,130,4295,14.9
chevrolet concours,77,1,17.5,6,250.0,110,3520,16.4
buick skylark,77,1,20.5,6,231.0,105,3425,16.9
plymouth volare custom,77,1,19.0,6,225.0,100,3630,17.7
ford granada,77,1,18.5,6,250.0,98,3525,19.0
pontiac grand prix lj,77,1,16.0,8,400.0,180,4220,11.1
chevrolet monte carlo landau,77,1,15.5,8,350.0,170,4165,11.4
chrysler cordoba,77,1,15.5,8,400.0,190,4325,12.2
ford thunderbird,77,1,16.0,8,351.0,149,4335,14.5
volkswagen rabbit custom,77,2,29.0,4,97.0,78,1940,14.5
pontiac sunbird coupe,77,1,24.5,4,151.0,88,2740,16.0
toyota corolla liftback,77,3,26.0,4,97.0,75,2265,18.2
ford mustang ii 2+2,77,1,25.5,4,140.0,89,2755,15.8
chevrolet chevette,77,1,30.5,4,98.0,63,2051,17.0
dodge colt m/m,77,1,33.5,4,98.0,83,2075,15.9
subaru dl,77,3,30.0,4,97.0,67,1985,16.4
volkswagen dasher,77,2,30.5,4,97.0,78,2190,14.1
datsun 810,77,3,22.0,6,146.0,97,2815,14.5
bmw 320i,77,2,21.5,4,121.0,110,2600,12.8
mazda rx-4,77,3,21.5,3,80.0,110,2720,13.5
volkswagen rabbit custom diesel,78,2,43.1,4,90.0,48,1985,21.5
ford fiesta,78,1,36.1,4,98.0,66,1800,14.4
mazda glc deluxe,78,3,32.8,4,78.0,52,1985,19.4
datsun b210 gx,78,3,39.4,4,85.0,70,2070,18.6
honda civic cvcc,78,3,36.1,4,91.0,60,1800,16.4
oldsmobile cutlass salon brougham,78,1,19.9,8,260.0,110,3365,15.5
dodge diplomat,78,1,19.4,8,318.0,140,3735,13.2
mercury monarch ghia,78,1,20.2,8,302.0,139,3570,12.8
pontiac phoenix lj,78,1,19.2,6,231.0,105,3535,19.2
chevrolet malibu,78,1,20.5,6,200.0,95,3155,18.2
ford fairmont (auto),78,1,20.2,6,200.0,85,2965,15.8
ford fairmont (man),78,1,25.1,4,140.0,88,2720,15.4
plymouth volare,78,1,20.5,6,225.0,100,3430,17.2
amc concord,78,1,19.4,6,232.0,90,3210,17.2
buick century special,78,1,20.6,6,231.0,105,3380,15.8
mercury zephyr,78,1,20.8,6,200.0,85,3070,16.7
dodge aspen,78,1,18.6,6,225.0,110,3620,18.7
amc concord d/l,78,1,18.1,6,258.0,120,3410,15.1
chevrolet monte carlo landau,78,1,19.2,8,305.0,145,3425,13.2
buick regal sport coupe (turbo),78,1,17.7,6,231.0,165,3445,13.4
ford futura,78,1,18.1,8,302.0,139,3205,11.2
dodge magnum xe,78,1,17.5,8,318.0,140,4080,13.7
chevrolet chevette,78,1,30.0,4,98.0,68,2155,16.5
toyota corona,78,3,27.5,4,134.0,95,2560,14.2
datsun 510,78,3,27.2,4,119.0,97,2300,14.7
dodge omni,78,1,30.9,4,105.0,75,2230,14.5
toyota celica gt liftback,78,3,21.1,4,134.0,95,2515,14.8
plymouth sapporo,78,1,23.2,4,156.0,105,2745,16.7
oldsmobile starfire sx,78,1,23.8,4,151.0,85,2855,17.6
datsun 200-sx,78,3,23.9,4,119.0,97,2405,14.9
audi 5000,78,2,20.3,5,131.0,103,2830,15.9
volvo 264gl,78,2,17.0,6,163.0,125,3140,13.6
saab 99gle,78,2,21.6,4,121.0,115,2795,15.7
peugeot 604sl,78,2,16.2,6,163.0,133,3410,15.8
volkswagen scirocco,78,2,31.5,4,89.0,71,1990,14.9
honda accord lx,78,3,29.5,4,98.0,68,2135,16.6
pontiac lemans v6,79,1,21.5,6,231.0,115,3245,15.4
mercury zephyr 6,79,1,19.8,6,200.0,85,2990,18.2
ford fairmont 4,79,1,22.3,4,140.0,88,2890,17.3
amc concord dl 6,79,1,20.2,6,232.0,90,3265,18.2
dodge aspen 6,79,1,20.6,6,225.0,110,3360,16.6
chevrolet caprice classic,79,1,17.0,8,305.0,130,3840,15.4
ford ltd landau,79,1,17.6,8,302.0,129,3725,13.4
mercury grand marquis,79,1,16.5,8,351.0,138,3955,13.2
dodge st. regis,79,1,18.2,8,318.0,135,3830,15.2
buick estate wagon (sw),79,1,16.9,8,350.0,155,4360,14.9
ford country squire (sw),79,1,15.5,8,351.0,142,4054,14.3
chevrolet malibu classic (sw),79,1,19.2,8,267.0,125,3605,15.0
chrysler lebaron town @ country (sw),79,1,18.5,8,360.0,150,3940,13.0
vw rabbit custom,79,2,31.9,4,89.0,71,1925,14.0
maxda glc deluxe,79,3,34.1,4,86.0,65,1975,15.2
dodge colt hatchback custom,79,1,35.7,4,98.0,80,1915,14.4
amc spirit dl,79,1,27.4,4,121.0,80,2670,15.0
mercedes benz 300d,79,2,25.4,5,183.0,77,3530,20.1
cadillac eldorado,79,1,23.0,8,350.0,125,3900,17.4
peugeot 504,79,2,27.2,4,141.0,71,3190,24.8
oldsmobile cutlass salon brougham,79,1,23.9,8,260.0,90,3420,22.2
plymouth horizon,79,1,34.2,4,105.0,70,2200,13.2
plymouth horizon tc3,79,1,34.5,4,105.0,70,2150,14.9
datsun 210,79,3,31.8,4,85.0,65,2020,19.2
fiat strada custom,79,2,37.3,4,91.0,69,2130,14.7
buick skylark limited,79,1,28.4,4,151.0,90,2670,16.0
chevrolet citation,79,1,28.8,6,173.0,115,2595,11.3
oldsmobile omega brougham,79,1,26.8,6,173.0,115,2700,12.9
pontiac phoenix,79,1,33.5,4,151.0,90,2556,13.2
vw rabbit,80,2,41.5,4,98.0,76,2144,14.7
toyota corolla tercel,80,3,38.1,4,89.0,60,1968,18.8
chevrolet chevette,80,1,32.1,4,98.0,70,2120,15.5
datsun 310,80,3,37.2,4,86.0,65,2019,16.4
chevrolet citation,80,1,28.0,4,151.0,90,2678,16.5
ford fairmont,80,1,26.4,4,140.0,88,2870,18.1
amc concord,80,1,24.3,4,151.0,90,3003,20.1
dodge aspen,80,1,19.1,6,225.0,90,3381,18.7
audi 4000,80,2,34.3,4,97.0,78,2188,15.8
toyota corona liftback,80,3,29.8,4,134.0,90,2711,15.5
mazda 626,80,3,31.3,4,120.0,75,2542,17.5
datsun 510 hatchback,80,3,37.0,4,119.0,92,2434,15.0
toyota corolla,80,3,32.2,4,108.0,75,2265,15.2
mazda glc,80,3,46.6,4,86.0,65,2110,17.9
dodge colt,80,1,27.9,4,156.0,105,2800,14.4
datsun 210,80,3,40.8,4,85.0,65,2110,19.2
vw rabbit c (diesel),80,2,44.3,4,90.0,48,2085,21.7
vw dasher (diesel),80,2,43.4,4,90.0,48,2335,23.7
audi 5000s (diesel),80,2,36.4,5,121.0,67,2950,19.9
mercedes-benz 240d,80,2,30.0,4,146.0,67,3250,21.8
honda civic 1500 gl,80,3,44.6,4,91.0,67,1850,13.8
renault lecar deluxe,80,2,40.9,4,85.0,?,1835,17.3
subaru dl,80,3,33.8,4,97.0,67,2145,18.0
vokswagen rabbit,80,2,29.8,4,89.0,62,1845,15.3
datsun 280-zx,80,3,32.7,6,168.0,132,2910,11.4
mazda rx-7 gs,80,3,23.7,3,70.0,100,2420,12.5
triumph tr7 coupe,80,2,35.0,4,122.0,88,2500,15.1
ford mustang cobra,80,1,23.6,4,140.0,?,2905,14.3
honda accord,80,3,32.4,4,107.0,72,2290,17.0
plymouth reliant,81,1,27.2,4,135.0,84,2490,15.7
buick skylark,81,1,26.6,4,151.0,84,2635,16.4
dodge aries wagon (sw),81,1,25.8,4,156.0,92,2620,14.4
chevrolet citation,81,1,23.5,6,173.0,110,2725,12.6
plymouth reliant,81,1,30.0,4,135.0,84,2385,12.9
toyota starlet,81,3,39.1,4,79.0,58,1755,16.9
plymouth champ,81,1,39.0,4,86.0,64,1875,16.4
honda civic 1300,81,3,35.1,4,81.0,60,1760,16.1
subaru,81,3,32.3,4,97.0,67,2065,17.8
datsun 210 mpg,81,3,37.0,4,85.0,65,1975,19.4
toyota tercel,81,3,37.7,4,89.0,62,2050,17.3
mazda glc 4,81,3,34.1,4,91.0,68,1985,16.0
plymouth horizon 4,81,1,34.7,4,105.0,63,2215,14.9
ford escort 4w,81,1,34.4,4,98.0,65,2045,16.2
ford escort 2h,81,1,29.9,4,98.0,65,2380,20.7
volkswagen jetta,81,2,33.0,4,105.0,74,2190,14.2
renault 18i,81,2,34.5,4,100.0,?,2320,15.8
honda prelude,81,3,33.7,4,107.0,75,2210,14.4
toyota corolla,81,3,32.4,4,108.0,75,2350,16.8
datsun 200sx,81,3,32.9,4,119.0,100,2615,14.8
mazda 626,81,3,31.6,4,120.0,74,2635,18.3
peugeot 505s turbo diesel,81,2,28.1,4,141.0,80,3230,20.4
volvo diesel,81,2,30.7,6,145.0,76,3160,19.6
toyota cressida,81,3,25.4,6,168.0,116,2900,12.6
datsun 810 maxima,81,3,24.2,6,146.0,120,2930,13.8
buick century,81,1,22.4,6,231.0,110,3415,15.8
oldsmobile cutlass ls,81,1,26.6,8,350.0,105,3725,19.0
ford granada gl,81,1,20.2,6,200.0,88,3060,17.1
chrysler lebaron salon,81,1,17.6,6,225.0,85,3465,16.6
chevrolet cavalier,82,1,28.0,4,112.0,88,2605,19.6
chevrolet cavalier wagon,82,1,27.0,4,112.0,88,2640,18.6
chevrolet cavalier 2-door,82,1,34.0,4,112.0,88,2395,18.0
pontiac j2000 se hatchback,82,1,31.0,4,112.0,85,2575,16.2
dodge aries se,82,1,29.0,4,135.0,84,2525,16.0
pontiac phoenix,82,1,27.0,4,151.0,90,2735,18.0
ford fairmont futura,82,1,24.0,4,140.0,92,2865,16.4
amc concord dl,82,1,23.0,4,151.0,?,3035,20.5
volkswagen rabbit l,82,2,36.0,4,105.0,74,1980,15.3
mazda glc custom l,82,3,37.0,4,91.0,68,2025,18.2
mazda glc custom,82,3,31.0,4,91.0,68,1970,17.6
plymouth horizon miser,82,1,38.0,4,105.0,63,2125,14.7
mercury lynx l,82,1,36.0,4,98.0,70,2125,17.3
nissan stanza xe,82,3,36.0,4,120.0,88,2160,14.5
honda accord,82,3,36.0,4,107.0,75,2205,14.5
toyota corolla,82,3,34.0,4,108.0,70,2245,16.9
honda civic,82,3,38.0,4,91.0,67,1965,15.0
honda civic (auto),82,3,32.0,4,91.0,67,1965,15.7
datsun 310 gx,82,3,38.0,4,91.0,67,1995,16.2
buick century limited,82,1,25.0,6,181.0,110,2945,16.4
oldsmobile cutlass ciera (diesel),82,1,38.0,6,262.0,85,3015,17.0
chrysler lebaron medallion,82,1,26.0,4,156.0,92,2585,14.5
ford granada l,82,1,22.0,6,232.0,112,2835,14.7
toyota celica gt,82,3,32.0,4,144.0,96,2665,13.9
dodge charger 2.2,82,1,36.0,4,135.0,84,2370,13.0
chevrolet camaro,82,1,27.0,4,151.0,90,2950,17.3
ford mustang gl,82,1,27.0,4,140.0,86,2790,15.6
vw pickup,82,2,44.0,4,97.0,52,2130,24.6
dodge rampage,82,1,32.0,4,135.0,84,2295,11.6
ford ranger,82,1,28.0,4,120.0,79,2625,18.6
chevy s-10,82,1,31.0,4,119.0,82,2720,19.4
